Region,date,total_lyme,region_pop,Lyme_Rate
Midwest,2004-01-01,13,67907403,0.019143715450287504
Midwest,2004-02-01,12,67907403,0.017671121954111545
Midwest,2004-03-01,24,67907403,0.03534224390822309
Midwest,2004-04-01,34,67907403,0.0500681788699827
Midwest,2004-05-01,146,67907403,0.21499865044169045
Midwest,2004-06-01,480,67907403,0.7068448781644617
Midwest,2004-07-01,642,67907403,0.9454050245449676
Midwest,2004-08-01,349,67907403,0.5139351301654107
Midwest,2004-09-01,250,67907403,0.3681483740439905
Midwest,2004-10-01,123,67907403,0.1811290000296433
Midwest,2004-11-01,53,67907403,0.07804745529732598
Midwest,2004-12-01,25,67907403,0.036814837404399045
Midwest,2005-01-01,31,67907403,0.045650398381454814
Midwest,2005-02-01,17,67907403,0.02503408943499135
Midwest,2005-03-01,24,67907403,0.03534224390822309
Midwest,2005-04-01,43,67907403,0.06332152033556636
Midwest,2005-05-01,141,67907403,0.2076356829608106
Midwest,2005-06-01,622,67907403,0.9159531546214482
Midwest,2005-07-01,831,67907403,1.2237251953222241
Midwest,2005-08-01,272,67907403,0.4005454309598616
Midwest,2005-09-01,159,67907403,0.23414236589197793
Midwest,2005-10-01,82,67907403,0.12075266668642888
Midwest,2005-11-01,53,67907403,0.07804745529732598
Midwest,2005-12-01,28,67907403,0.04123261789292693
Midwest,2006-01-01,24,67907403,0.03534224390822309
Midwest,2006-02-01,17,67907403,0.02503408943499135
Midwest,2006-03-01,18,67907403,0.026506682931167314
Midwest,2006-04-01,55,67907403,0.0809926422896779
Midwest,2006-05-01,246,67907403,0.3622580000592866
Midwest,2006-06-01,721,67907403,1.0617399107428684
Midwest,2006-07-01,801,67907403,1.1795473904369456
Midwest,2006-08-01,255,67907403,0.37551134152487026
Midwest,2006-09-01,124,67907403,0.18260159352581926
Midwest,2006-10-01,62,67907403,0.09130079676290963
Midwest,2006-11-01,32,67907403,0.04712299187763078
Midwest,2006-12-01,20,67907403,0.029451869923519235
Midwest,2007-01-01,20,67907403,0.029451869923519235
Midwest,2007-02-01,19,67907403,0.027979276427343273
Midwest,2007-03-01,25,67907403,0.036814837404399045
Midwest,2007-04-01,58,67907403,0.08541042277820579
Midwest,2007-05-01,282,67907403,0.4152713659216212
Midwest,2007-06-01,820,67907403,1.2075266668642888
Midwest,2007-07-01,1018,67907403,1.4991001791071292
Midwest,2007-08-01,423,67907403,0.6229070488824319
Midwest,2007-09-01,178,67907403,0.2621216423193212
Midwest,2007-10-01,156,67907403,0.22972458540345003
Midwest,2007-11-01,65,67907403,0.09571857725143751
Midwest,2007-12-01,30,67907403,0.04417780488527886
Midwest,2008-01-01,37,67907403,0.05448595935851059
Midwest,2008-02-01,22,67907403,0.03239705691587116
Midwest,2008-03-01,40,67907403,0.05890373984703847
Midwest,2008-04-01,63,67907403,0.0927733902590856
Midwest,2008-05-01,171,67907403,0.2518134878460895
Midwest,2008-06-01,636,67907403,0.9365694635679117
Midwest,2008-07-01,1056,67907403,1.5550587319618157
Midwest,2008-08-01,562,67907403,0.8275975448508905
Midwest,2008-09-01,281,67907403,0.41379877242544527
Midwest,2008-10-01,203,67907403,0.2989364797237202
Midwest,2008-11-01,79,67907403,0.11633488619790099
Midwest,2008-12-01,26,67907403,0.03828743090057501
Midwest,2009-01-01,34,67907403,0.0500681788699827
Midwest,2009-02-01,40,67907403,0.05890373984703847
Midwest,2009-03-01,44,67907403,0.06479411383174231
Midwest,2009-04-01,74,67907403,0.10897191871702118
Midwest,2009-05-01,229,67907403,0.33722391062429524
Midwest,2009-06-01,866,67907403,1.275265967688383
Midwest,2009-07-01,1310,67907403,1.9290974799905098
Midwest,2009-08-01,623,67907403,0.9174257481176242
Midwest,2009-09-01,253,67907403,0.37256615453251835
Midwest,2009-10-01,134,67907403,0.19732752848757887
Midwest,2009-11-01,70,67907403,0.10308154473231733
Midwest,2009-12-01,48,67907403,0.07068448781644618
Midwest,2010-01-01,48,67907403,0.07068448781644618
Midwest,2010-02-01,45,67907403,0.06626670732791828
Midwest,2010-03-01,64,67907403,0.09424598375526155
Midwest,2010-04-01,141,67907403,0.2076356829608106
Midwest,2010-05-01,491,67907403,0.7230434066223972
Midwest,2010-06-01,1698,67907403,2.5004637565067833
Midwest,2010-07-01,1523,67907403,2.24275989467599
Midwest,2010-08-01,518,67907403,0.7628034310191483
Midwest,2010-09-01,274,67907403,0.4034906179522135
Midwest,2010-10-01,257,67907403,0.3784565285172222
Midwest,2010-11-01,103,67907403,0.15167713010612408
Midwest,2010-12-01,50,67907403,0.07362967480879809
Midwest,2011-01-01,60,67907403,0.08835560977055772
Midwest,2011-02-01,62,67907403,0.09130079676290963
Midwest,2011-03-01,73,67907403,0.10749932522084522
Midwest,2011-04-01,144,67907403,0.2120534634493385
Midwest,2011-05-01,346,67907403,0.5095173496768828
Midwest,2011-06-01,1288,67907403,1.896700423074639
Midwest,2011-07-01,1845,67907403,2.7169350004446495
Midwest,2011-08-01,826,67907403,1.2163622278413444
Midwest,2011-09-01,358,67907403,0.5271884716309944
Midwest,2011-10-01,244,67907403,0.3593128130669347
Midwest,2011-11-01,143,67907403,0.21058086995316255
Midwest,2011-12-01,73,67907403,0.10749932522084522
Midwest,2012-01-01,79,67907403,0.11633488619790099
Midwest,2012-02-01,62,67907403,0.09130079676290963
Midwest,2012-03-01,116,67907403,0.17082084555641158
Midwest,2012-04-01,233,67907403,0.3431142846089991
Midwest,2012-05-01,481,67907403,0.7083174716606377
Midwest,2012-06-01,1007,67907403,1.4829016506491937
Midwest,2012-07-01,801,67907403,1.1795473904369456
Midwest,2012-08-01,317,67907403,0.4668121382877799
Midwest,2012-09-01,175,67907403,0.2577038618307933
Midwest,2012-10-01,99,67907403,0.14578675612142022
Midwest,2012-11-01,65,67907403,0.09571857725143751
Midwest,2012-12-01,38,67907403,0.055958552854686545
