Region,date,total_lyme,region_pop,Lyme_Rate
Northeast,2004-01-01,258,56283891,0.458390483344515
Northeast,2004-02-01,253,56283891,0.4495069468455903
Northeast,2004-03-01,324,56283891,0.5756531651303212
Northeast,2004-04-01,454,56283891,0.8066251141023637
Northeast,2004-05-01,987,56283891,1.7536101048877377
Northeast,2004-06-01,3126,56283891,5.553987019127729
Northeast,2004-07-01,2839,56283891,5.04407202408945
Northeast,2004-08-01,1317,56283891,2.3399235138167684
Northeast,2004-09-01,739,56283891,1.3129866945410722
Northeast,2004-10-01,769,56283891,1.3662879135346204
Northeast,2004-11-01,489,56283891,0.8688098695948366
Northeast,2004-12-01,250,56283891,0.44417682494623556
Northeast,2005-01-01,212,56283891,0.3766619475544077
Northeast,2005-02-01,189,56283891,0.33579767965935403
Northeast,2005-03-01,217,56283891,0.38554548405333244
Northeast,2005-04-01,338,56283891,0.6005270673273104
Northeast,2005-05-01,699,56283891,1.2419184025496746
Northeast,2005-06-01,3575,56283891,6.351728596731167
Northeast,2005-07-01,4880,56283891,8.670331622950517
Northeast,2005-08-01,1842,56283891,3.272694846203863
Northeast,2005-09-01,672,56283891,1.193947305455481
Northeast,2005-10-01,568,56283891,1.009169746277847
Northeast,2005-11-01,381,56283891,0.676925481218063
Northeast,2005-12-01,149,56283891,0.2647293876679564
Northeast,2006-01-01,170,56283891,0.3020402409634402
Northeast,2006-02-01,184,56283891,0.3269141431604293
Northeast,2006-03-01,211,56283891,0.3748852402546228
Northeast,2006-04-01,264,56283891,0.4690507271432247
Northeast,2006-05-01,749,56283891,1.3307537675389216
Northeast,2006-06-01,3389,56283891,6.0212610389711685
Northeast,2006-07-01,3369,56283891,5.98572689297547
Northeast,2006-08-01,1199,56283891,2.1302720524421455
Northeast,2006-09-01,635,56283891,1.1282091353634383
Northeast,2006-10-01,556,56283891,0.9878492586804277
Northeast,2006-11-01,345,56283891,0.6129640184258051
Northeast,2006-12-01,234,56283891,0.41574950814967643
Northeast,2007-01-01,285,56283891,0.5063615804387085
Northeast,2007-02-01,184,56283891,0.3269141431604293
Northeast,2007-03-01,247,56283891,0.43884670304688067
Northeast,2007-04-01,392,56283891,0.6964692615156972
Northeast,2007-05-01,1097,56283891,1.9490479078640814
Northeast,2007-06-01,3873,56283891,6.881187372067081
Northeast,2007-07-01,4284,56283891,7.611414072278692
Northeast,2007-08-01,1661,56283891,2.9511108249427886
Northeast,2007-09-01,743,56283891,1.3200935237402118
Northeast,2007-10-01,775,56283891,1.37694815733333
Northeast,2007-11-01,498,56283891,0.8848002352929011
Northeast,2007-12-01,240,56283891,0.4264097519483861
Northeast,2008-01-01,312,56283891,0.5543326775329019
Northeast,2008-02-01,283,56283891,0.5028081658391387
Northeast,2008-03-01,300,56283891,0.5330121899354826
Northeast,2008-04-01,600,56283891,1.0660243798709652
Northeast,2008-05-01,1504,56283891,2.672167778876553
Northeast,2008-06-01,4880,56283891,8.670331622950517
Northeast,2008-07-01,5962,56283891,10.592728921317825
Northeast,2008-08-01,2304,56283891,4.093533618704507
Northeast,2008-09-01,1324,56283891,2.352360464915263
Northeast,2008-10-01,1168,56283891,2.0751941261488125
Northeast,2008-11-01,742,56283891,1.318316816440427
Northeast,2008-12-01,396,56283891,0.7035760907148371
Northeast,2009-01-01,363,56283891,0.644944749821934
Northeast,2009-02-01,338,56283891,0.6005270673273104
Northeast,2009-03-01,476,56283891,0.8457126746976323
Northeast,2009-04-01,694,56283891,1.2330348660507497
Northeast,2009-05-01,1708,56283891,3.034616068032681
Northeast,2009-06-01,5752,56283891,10.219620388362987
Northeast,2009-07-01,5851,56283891,10.395514411041697
Northeast,2009-08-01,2392,56283891,4.249883861085581
Northeast,2009-09-01,1147,56283891,2.0378832728533287
Northeast,2009-10-01,972,56283891,1.7269594953909635
Northeast,2009-11-01,727,56283891,1.2916662069436529
Northeast,2009-12-01,421,56283891,0.7479937732094606
Northeast,2010-01-01,373,56283891,0.6627118228197834
Northeast,2010-02-01,308,56283891,0.5472258483337622
Northeast,2010-03-01,518,56283891,0.9203343812886
Northeast,2010-04-01,848,56283891,1.5066477902176307
Northeast,2010-05-01,1449,56283891,2.574448877388381
Northeast,2010-06-01,3726,56283891,6.6200113989986935
Northeast,2010-07-01,2528,56283891,4.4915160538563335
Northeast,2010-08-01,1359,56283891,2.414545220407736
Northeast,2010-09-01,913,56283891,1.622133764703652
Northeast,2010-10-01,818,56283891,1.4533465712240825
Northeast,2010-11-01,552,56283891,0.980742429481288
Northeast,2010-12-01,293,56283891,0.5205752388369881
Northeast,2011-01-01,298,56283891,0.5294587753359128
Northeast,2011-02-01,330,56283891,0.5863134089290308
Northeast,2011-03-01,404,56283891,0.7177897491131165
Northeast,2011-04-01,556,56283891,0.9878492586804277
Northeast,2011-05-01,1423,56283891,2.5282544875939728
Northeast,2011-06-01,4483,56283891,7.964978824935896
Northeast,2011-07-01,3994,56283891,7.096168955341058
Northeast,2011-08-01,1503,56283891,2.670391071576768
Northeast,2011-09-01,905,56283891,1.6079201063053725
Northeast,2011-10-01,929,56283891,1.6505610815002112
Northeast,2011-11-01,676,56283891,1.2010541346546209
Northeast,2011-12-01,442,56283891,0.7853046265049444
Northeast,2012-01-01,546,56283891,0.9700821856825783
Northeast,2012-02-01,457,56283891,0.8119552360017185
Northeast,2012-03-01,660,56283891,1.1726268178580617
Northeast,2012-04-01,891,56283891,1.5830462041083833
Northeast,2012-05-01,1627,56283891,2.8907027767501003
Northeast,2012-06-01,4021,56283891,7.144140052435252
Northeast,2012-07-01,3497,56283891,6.213145427347942
Northeast,2012-08-01,1582,56283891,2.8107509482597783
Northeast,2012-09-01,1027,56283891,1.8246783968791356
Northeast,2012-10-01,993,56283891,1.7642703486864473
Northeast,2012-11-01,728,56283891,1.2934429142434378
Northeast,2012-12-01,417,56283891,0.7408869440103208
