# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: https://www.google.com/trends/correlate/csv?e=id%3AyX3tNhZZ5FB&t=monthly&p=us

Date,Midwest_Rates_Corr,music in the park,fried squash recipe,homemade ice cream recipes,coney island cincinnati,beaches in ny,island water park,wild water adventures,harvesting garlic,summer appetizers,sprinkler park,cool river tubing,nyc pools,tubing in helen,wetlands water park,river water park,fried squash,lake beaches,roseville water park,water west,wild water west,festivals milwaukee,harvesting basil,wolf river campground,beaches in ct,family aquatic center,blueberry farm,drive in ohio,waterworld concord,illinois river float,blueberry patch,splash country,music under the stars,dollywood splash,nock a mixon,49 drive in,fort dupont park,movies in the park,dollywood splash country,fantasy lake,splashdown water park,motels in ocean city,hotels near worlds of fun,pikes peak cog railway,venture river,zucchini blossom,kings island discount,cooling bandana,summer desserts,buffalo state park,island water,outdoor water parks,dupont park,waterworld denver,bourne braves,festival colorado,helen tubing,free concerts,beach chicago,easy summer recipes,pick blueberries,centennial beach,the comal river,brooklyn concerts,watermelon recipe,wild water,illinois river float trips,tubing helen,little buffalo state park,funplex omaha,beaches in ohio,dorm bedding,wave country nashville,melody 49 drive in,beaver dam swim club,valley beach,watermelon drinks,ocean beach new london,free concerts nyc,harvesting dill,bay water park,what do baby toads eat,camp nock a mixon,beaches in michigan,worlds of fun discount,nyc public pools,sherwood island state park,grilled squash,river float trips,campground colorado,marketfest,crystal springs east brunswick,free outdoor concerts,luverne drive in,hoboken movies under the stars,summer dessert,summer soup,motel wisconsin dells,pool cooler,waterville gulf shores,summer sizzler
2004-01-01,-0.715,-0.666,-0.749,-0.612,-0.928,-0.726,-0.656,-0.688,-0.729,-0.634,-0.640,-0.681,-0.701,-0.618,-0.626,-0.700,-0.913,-0.771,-0.635,-0.746,-0.756,-0.700,-0.869,-0.718,-0.712,-0.718,-0.690,-0.950,-0.760,-0.685,-1.197,-0.691,-0.705,-0.751,-0.830,-0.703,-0.731,-0.728,-0.741,-0.794,-0.587,-0.908,-0.829,-1.408,-0.657,-0.674,-0.677,-0.688,-0.685,-1.025,-0.600,-0.680,-1.145,-0.681,-0.656,-0.639,-0.595,-0.795,-0.634,-0.653,-0.677,-0.689,-0.777,-0.724,-0.885,-0.720,-0.528,-0.646,-0.968,-0.664,-0.788,-0.736,-0.589,-0.654,-0.627,-0.638,-0.799,-0.643,-0.808,-0.613,-0.901,-0.506,-0.768,-0.823,-0.686,-0.575,-0.915,-0.999,-0.937,-1.019,-0.638,-0.611,-0.698,-0.674,-0.563,-0.678,-0.795,-0.893,-0.737,-0.651,-0.741
2004-02-01,-0.718,-0.656,-0.749,-0.642,-0.928,-0.726,-0.592,-0.688,-0.729,-0.634,-0.640,-0.681,-0.701,-0.618,-0.626,-0.700,-0.913,-0.771,-0.635,-0.739,-0.756,-0.700,-0.869,-0.718,-0.712,-0.658,-0.731,-0.950,-0.760,-0.685,-1.197,-0.672,-0.705,-0.751,-0.830,-0.703,-0.731,-0.728,-0.741,-0.794,-0.587,-0.908,-0.829,-1.408,-0.657,-0.674,-0.677,-0.688,-0.685,-1.025,-0.535,-0.680,-1.145,-0.681,-0.656,-0.636,-0.595,-0.827,-0.625,-0.653,-0.677,-0.689,-0.777,-0.724,-0.885,-0.655,-0.528,-0.646,-0.968,-0.664,-0.788,-0.757,-0.589,-0.654,-0.627,-0.649,-0.799,-0.643,-0.808,-0.613,-0.901,-0.506,-0.768,-0.823,-0.686,-0.575,-0.915,-0.999,-0.441,-0.807,-0.638,-0.611,-0.698,-0.674,-0.563,-0.678,-0.795,-0.893,-0.737,-0.651,-0.741
2004-03-01,-0.687,-0.658,-0.749,-0.527,-0.506,-0.726,-0.457,-0.688,-0.729,-0.634,-0.640,-0.681,-0.701,-0.618,-0.626,-0.700,-0.913,-0.771,-0.635,-0.642,-0.756,-0.700,-0.869,-0.718,-0.712,-0.537,-0.658,-0.950,-0.499,-0.685,-1.197,-0.576,-0.705,-0.751,-0.830,-0.703,-0.731,-0.680,-0.741,-0.794,-0.587,-0.908,-0.829,-0.977,-0.657,-0.674,-0.677,-0.688,-0.685,-1.025,-0.276,-0.680,-1.145,-0.337,-0.656,-0.757,-0.595,-0.770,-0.518,-0.653,-0.677,-0.689,-0.777,-0.724,-0.885,-0.383,-0.528,-0.646,-0.968,-0.664,-0.788,-0.693,-0.589,-0.654,-0.627,-0.816,-0.799,-0.643,-0.808,-0.613,-0.567,-0.506,-0.768,-0.823,-0.686,-0.575,-0.915,-0.999,-0.308,-0.517,-0.638,-0.611,-0.698,-0.674,-0.563,-0.678,-0.795,-0.893,-0.737,-0.651,-0.741
2004-04-01,-0.661,-0.549,-0.749,-0.273,-0.103,-0.726,-0.426,-0.688,-0.729,-0.634,-0.640,-0.681,-0.701,-0.618,-0.626,-0.490,-0.913,-0.771,-0.635,-0.490,-0.756,-0.700,-0.869,-0.718,-0.712,-0.489,-0.533,-0.950,-0.760,-0.685,-1.197,-0.575,-0.705,-0.751,-0.830,-0.703,-0.731,-0.557,-0.741,-0.794,-0.587,-0.375,-0.829,-0.714,-0.657,-0.674,-0.325,-0.688,-0.685,-1.025,-0.270,-0.680,-0.427,-0.398,-0.656,-0.221,-0.595,-0.531,-0.294,-0.653,-0.677,-0.689,-0.777,-0.724,-0.885,-0.292,-0.528,-0.646,-0.968,-0.664,-0.788,-0.537,-0.589,-0.654,-0.627,-0.476,-0.799,-0.643,-0.808,-0.613,-0.507,-0.506,-0.768,-0.823,-0.686,-0.575,-0.915,-0.999,-0.027,-0.325,-0.638,-0.611,-0.698,-0.674,-0.563,-0.678,-0.795,-0.893,-0.737,-0.651,-0.741
2004-05-01,-0.368,-0.304,-0.749,0.493,0.127,-0.726,-0.129,0.166,0.220,-0.251,-0.640,-0.681,-0.046,-0.618,0.226,-0.270,-0.375,-0.771,-0.635,-0.343,-0.447,-0.700,0.208,-0.718,-0.207,-0.223,-0.411,-0.221,-0.160,0.495,-0.247,-0.379,-0.052,-0.440,-0.830,-0.703,0.142,-0.311,-0.459,-0.088,-0.083,0.456,-0.829,-0.170,-0.083,-0.674,0.149,-0.688,-0.060,-0.200,0.126,-0.680,-0.134,0.033,-0.656,-0.077,-0.595,0.056,-0.268,0.368,-0.283,-0.374,-0.777,0.268,0.346,0.038,-0.528,-0.646,-0.238,-0.664,0.753,-0.454,-0.589,-0.654,-0.627,0.053,-0.799,-0.643,-0.808,-0.613,-0.306,-0.506,-0.768,-0.134,-0.686,-0.575,0.215,-0.199,0.683,0.257,-0.638,-0.611,-0.698,-0.674,-0.563,0.161,0.292,-0.353,-0.737,-0.651,-0.004
2004-06-01,0.505,0.595,0.894,1.060,0.899,1.200,0.488,0.794,1.768,0.304,-0.036,0.793,0.114,-0.618,1.114,0.952,0.516,0.388,-0.635,0.211,0.153,1.288,1.707,0.965,0.134,1.010,0.327,0.441,0.564,1.110,1.162,0.210,0.661,0.101,0.991,0.745,0.704,0.219,0.013,0.524,0.665,1.174,0.390,0.370,0.900,-0.674,0.603,0.600,0.505,0.540,0.788,-0.138,0.574,0.802,1.208,1.511,-0.595,1.245,0.456,0.660,0.593,0.314,0.488,1.569,0.935,0.726,-0.528,1.055,0.526,0.272,0.824,0.269,0.864,0.592,1.572,0.529,0.215,0.252,0.281,-0.613,0.524,-0.506,-0.768,0.523,0.478,1.539,0.915,0.133,1.304,0.946,2.594,0.620,1.305,1.028,1.311,0.678,0.805,-0.086,0.619,0.592,1.095
2004-07-01,0.928,1.192,1.922,1.434,1.037,1.019,0.770,1.010,2.097,0.470,0.038,1.480,0.722,0.576,0.829,1.502,0.767,0.993,1.137,0.789,0.785,1.294,1.472,1.730,0.387,1.332,0.998,0.845,1.214,1.588,1.092,0.626,0.697,0.303,1.629,0.460,1.120,0.334,0.235,0.466,1.349,1.400,0.658,0.650,1.113,1.400,1.326,0.650,0.633,0.433,1.062,-0.680,1.087,1.969,1.702,2.284,-0.595,1.608,0.832,0.665,0.785,0.661,0.784,1.523,2.021,1.308,-0.528,2.161,0.452,0.844,0.959,0.983,1.464,0.473,1.187,0.922,0.623,1.371,0.711,2.598,0.831,-0.506,1.629,0.625,1.582,2.000,0.907,0.560,1.637,1.367,1.524,1.360,1.549,1.470,-0.563,0.849,0.954,0.637,0.736,0.834,2.014
2004-08-01,0.163,0.509,-0.749,0.108,0.496,0.391,-0.007,0.175,-0.060,-0.179,-0.077,0.698,0.307,-0.057,-0.626,0.196,-0.050,-0.061,-0.635,0.039,-0.038,-0.700,0.704,-0.718,-0.232,0.163,-0.014,-0.053,0.819,0.794,0.185,-0.131,0.167,-0.290,-0.830,-0.105,0.217,-0.049,-0.324,-0.219,0.765,0.517,-0.829,0.222,-0.171,-0.674,1.075,-0.688,-0.127,0.447,0.364,-0.680,0.267,0.915,0.191,0.184,-0.595,0.329,0.384,-0.127,0.041,-0.091,-0.777,-0.724,0.487,0.302,-0.528,0.491,0.564,0.272,-0.788,0.088,-0.589,-0.654,1.254,-0.087,-0.799,0.577,-0.808,-0.613,0.065,-0.506,-0.768,-0.124,1.166,-0.575,0.575,-0.149,0.355,0.716,0.557,-0.611,-0.698,0.639,-0.563,-0.057,0.315,-0.050,-0.737,-0.651,0.207
2004-09-01,-0.096,-0.465,-0.749,-0.363,-0.279,-0.726,-0.675,-0.688,-0.729,-0.634,-0.640,-0.681,-0.701,-0.618,-0.626,-0.451,-0.521,-0.181,-0.635,-0.407,-0.756,-0.700,-0.130,-0.718,-0.712,-0.446,-0.624,-0.282,-0.030,-0.685,-0.654,-0.647,-0.705,-0.751,-0.830,-0.703,-0.731,-0.612,-0.741,-0.794,-0.414,-0.478,-0.829,-0.480,-0.657,-0.674,-0.380,-0.688,-0.685,-0.316,-0.472,-0.680,-0.422,-0.681,-0.656,-0.190,-0.595,-0.534,-0.101,-0.653,-0.677,-0.689,-0.777,-0.724,-0.885,-0.551,-0.528,-0.646,-0.244,-0.664,-0.788,-0.701,-0.589,-0.654,-0.627,-0.541,-0.799,-0.643,-0.808,-0.613,-0.697,-0.506,-0.768,-0.823,-0.686,-0.575,-0.915,-0.396,-0.442,-0.346,-0.638,-0.611,-0.698,-0.674,-0.563,-0.678,-0.795,-0.469,-0.737,-0.651,-0.741
2004-10-01,-0.428,-0.638,-0.749,-0.698,-0.574,-0.726,-0.739,-0.688,-0.729,-0.634,-0.640,-0.681,-0.701,-0.618,-0.626,-0.700,-0.682,-0.771,-0.635,-0.703,-0.756,-0.700,-0.869,-0.718,-0.712,-0.725,-0.666,-0.551,-0.760,-0.685,-1.197,-0.739,-0.705,-0.751,-0.830,-0.703,-0.731,-0.688,-0.741,-0.794,-0.587,-0.908,-0.829,-0.770,-0.657,-0.674,-0.677,-0.688,-0.685,-0.474,-0.705,-0.680,-1.145,-0.681,-0.656,-0.730,-0.595,-0.728,-0.625,-0.653,-0.677,-0.689,-0.777,-0.724,-0.885,-0.727,-0.528,-0.646,-0.968,-0.664,-0.788,-0.775,-0.589,-0.654,-0.627,-0.666,-0.799,-0.643,-0.808,-0.613,-0.901,-0.506,-0.768,-0.823,-0.686,-0.575,-0.915,-0.999,-0.937,-0.861,-0.638,-0.611,-0.698,-0.674,-0.563,-0.678,-0.795,-0.893,-0.737,-0.651,-0.741
