# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: https://www.google.com/trends/correlate/csv?e=id%3A1YWQMuM7I1U&t=monthly&p=us

Date,Northeast_Rates_Corr,necbl,freezing squash,coastal plains league,winchester royals,blues on the mall,valley league baseball,pick your own berries,little league allstars,wilmington sharks,swamp bats,vacation bible school songs,bible school songs,berry picking,blueberry farms,water park ga,bend elks,summer recipe,white water six flags,baby toads,vbs games,league allstars,stroke and stride,fresh cherry,swimming parks,water park fresno,brooklyn concerts,free concerts in nyc,falmouth commodores,rose tree park,central park free concerts,picking blueberries,glacier pilots,keene swamp bats,harvesting basil,summer run,wild raspberries,pitting cherries,concerts brooklyn,alabama water park,tomato plant problems,summer sizzler,freedom run,danville dans,symphony in the park,bourne braves,pick your own blueberries,blossom rot,movies under the stars,fresh cherry pie,all stars baseball,water park atlanta,white water oklahoma,movies on the rocks,freezing cherries,free outdoor concerts,little league all stars,free concerts,cherry recipes,duluth huskies,alive at five,collegiate baseball league,squash diseases,prospect park bandshell,mankato moondogs,sunset concert,marketfest,newport gulls,staunton braves,lake fest,hays larks,summer in the park,concert in park,freezer jam,cherry pitter,the berry patch,harwich mariners,wilson tobs,church festivals,striped cucumber beetle,alaska baseball league,nycbl,freedom fest,passing league,fourth of july cakes,milwaukee festival,fresh cherry recipes,july calendar,summer concerts in the park,dallas water parks,gatemen,tomato blossom,harvesting dill,watertown wizards,anchorage bucs,asa metro,akron racers,mallards baseball,colorado 4th of july,big surf,canning squash
2004-01-01,-0.721,-0.415,-0.790,-0.852,-0.543,-0.597,-0.698,-0.671,-0.558,-0.707,-0.637,-0.722,-0.901,-0.833,-0.871,-0.692,-0.772,-0.708,-0.643,-0.690,-0.590,-0.650,-0.505,-0.733,-0.761,-0.661,-0.724,-0.721,-0.643,-0.918,-0.601,-0.755,-0.606,-0.597,-0.869,-0.992,-0.679,-0.552,-0.709,-0.672,-0.647,-0.741,-1.058,-0.648,-0.749,-0.656,-0.618,-0.636,-0.813,-0.640,-0.836,-0.769,-0.553,-0.654,-0.497,-0.698,-0.629,-0.795,-0.530,-0.723,-0.678,-0.438,-0.613,-0.658,-0.744,-0.743,-0.638,-0.720,-0.534,-0.750,-0.585,-0.866,-0.723,-0.846,-0.738,-0.937,-0.681,-0.731,-0.871,-0.633,-0.679,-0.759,-0.537,-0.817,-0.454,-0.839,-0.526,-0.540,-0.642,-0.591,-0.681,-0.670,-0.613,-0.440,-0.554,-0.550,-0.866,-0.672,-0.470,-0.651,-0.760
2004-02-01,-0.725,-0.798,-0.790,-0.852,-0.543,-0.597,-0.698,-0.671,-0.558,-0.707,-0.637,-0.722,-0.901,-0.721,-0.871,-0.692,-0.772,-0.708,-0.643,-0.690,-0.590,-0.650,-0.505,-0.733,-0.761,-0.661,-0.724,-0.721,-0.643,-0.918,-0.601,-0.755,-0.606,-0.597,-0.869,-0.992,-0.679,-0.552,-0.709,-0.672,-0.647,-0.741,-0.781,-0.648,-0.749,-0.656,-0.618,-0.636,-0.813,-0.640,-0.836,-0.769,-0.553,-0.654,-0.497,-0.698,-0.629,-0.827,-0.512,-0.723,-0.678,-0.400,-0.613,-0.658,-0.744,-0.743,-0.638,-0.720,-0.534,-0.750,-0.585,-0.866,-0.723,-0.945,-0.738,-0.937,-0.681,-0.731,-0.871,-0.633,-0.679,-0.759,-0.527,-0.817,-0.454,-0.839,-0.526,-0.540,-0.642,-0.591,-0.681,-0.670,-0.613,-0.440,-0.554,-0.550,-0.866,-0.672,-0.470,-0.595,-0.760
2004-03-01,-0.674,-0.798,-0.790,-0.852,-0.543,-0.597,-0.698,-0.671,-0.558,-0.707,-0.637,-0.722,-0.901,-0.641,-0.420,-0.692,-0.772,-0.708,-0.643,-0.690,-0.590,-0.650,-0.505,-0.733,-0.761,-0.661,-0.724,-0.721,-0.643,-0.918,-0.601,-0.755,-0.606,-0.597,-0.869,-0.992,-0.679,-0.552,-0.709,-0.672,-0.647,-0.741,-1.058,-0.648,-0.749,-0.656,-0.618,-0.636,-0.813,-0.640,-0.836,-0.769,-0.553,-0.654,-0.497,-0.698,-0.629,-0.770,-0.488,-0.723,-0.678,-0.316,-0.613,-0.658,-0.744,-0.743,-0.638,-0.720,-0.534,-0.750,-0.585,-0.866,-0.723,-0.754,-0.738,-0.937,-0.681,-0.731,-0.871,-0.633,-0.679,-0.759,-0.391,-0.817,-0.454,-0.839,-0.526,-0.525,-0.642,-0.591,-0.681,-0.670,-0.613,-0.440,-0.554,-0.550,-0.866,-0.672,-0.470,-0.277,-0.760
2004-04-01,-0.582,-0.371,-0.790,-0.852,-0.543,-0.597,-0.698,-0.671,-0.558,-0.707,-0.637,-0.722,-0.901,-0.296,-0.476,-0.692,-0.772,-0.708,-0.643,-0.690,-0.590,-0.650,-0.505,-0.733,-0.761,-0.661,-0.724,-0.721,-0.643,-0.918,-0.601,-0.755,-0.606,-0.597,-0.869,-0.101,-0.679,-0.552,-0.709,-0.672,-0.647,-0.741,-0.520,-0.648,-0.749,-0.656,-0.618,-0.636,-0.452,-0.640,-0.836,-0.769,-0.553,-0.654,-0.497,-0.698,-0.629,-0.531,-0.632,-0.723,-0.309,-0.072,-0.613,-0.266,-0.744,-0.743,-0.638,-0.720,-0.534,-0.750,-0.585,-0.866,-0.723,-0.476,-0.459,-0.937,-0.681,-0.731,-0.871,-0.633,-0.679,-0.759,-0.305,-0.817,-0.454,-0.839,-0.526,-0.464,-0.642,-0.591,-0.681,-0.670,-0.613,-0.440,-0.554,-0.550,-0.866,-0.672,-0.470,-0.135,-0.760
2004-05-01,-0.205,0.045,-0.790,-0.162,-0.543,-0.597,0.280,0.664,-0.558,-0.707,-0.637,-0.722,-0.901,0.221,0.246,-0.692,-0.100,0.416,-0.643,0.886,-0.590,-0.650,-0.505,0.399,-0.761,-0.661,0.268,-0.721,-0.643,-0.169,-0.601,-0.755,0.400,-0.597,0.208,0.456,-0.679,-0.552,-0.709,-0.672,0.600,-0.004,-0.535,-0.648,-0.001,-0.656,-0.190,0.288,-0.062,0.614,-0.836,0.469,-0.553,-0.654,0.477,-0.698,-0.220,0.056,0.051,-0.723,0.019,0.327,-0.613,-0.118,0.397,-0.743,-0.638,0.351,-0.534,-0.750,-0.585,-0.866,-0.723,0.111,0.449,0.562,-0.681,-0.731,0.149,-0.633,-0.679,-0.759,-0.057,-0.817,-0.454,0.977,0.503,-0.270,-0.642,-0.591,-0.681,0.468,-0.613,-0.440,-0.554,-0.550,0.151,0.034,-0.470,0.764,-0.760
2004-06-01,1.311,2.039,1.652,1.847,2.435,1.789,1.950,1.759,2.372,2.210,1.817,1.894,2.240,1.564,1.591,0.905,1.311,1.167,1.682,2.306,1.779,2.156,1.991,2.328,1.456,2.012,1.569,2.311,1.324,1.673,2.479,2.100,3.301,1.517,1.707,2.007,1.737,1.340,2.441,2.286,2.051,1.095,1.460,1.736,1.485,1.208,0.830,1.840,1.091,2.610,1.379,1.772,1.868,1.192,2.153,1.305,1.125,1.245,2.135,1.207,1.785,2.065,2.225,1.455,1.923,1.068,2.594,1.664,1.617,1.085,1.458,0.928,1.260,1.151,2.628,2.164,1.660,1.180,1.681,2.607,2.831,0.872,1.288,0.696,2.000,3.284,2.488,0.714,1.893,1.990,1.344,2.101,-0.613,1.946,2.947,-0.550,2.129,2.003,2.306,2.198,1.831
2004-07-01,1.107,1.854,1.385,1.397,1.329,1.469,0.896,1.585,2.434,1.528,1.681,2.336,2.140,1.646,1.896,1.796,0.661,1.141,2.118,2.371,1.696,2.424,1.610,1.717,1.542,1.967,1.523,1.978,2.299,2.923,2.065,1.618,2.464,1.913,1.472,2.189,0.737,1.021,2.127,1.479,1.969,2.014,1.557,1.896,1.340,1.702,2.170,2.281,1.259,1.877,2.701,2.220,2.056,1.360,2.309,1.549,1.777,1.608,1.745,1.791,1.165,1.584,2.896,0.901,0.579,1.843,1.524,1.876,1.422,0.891,2.824,0.754,1.459,1.169,1.400,0.945,1.404,0.833,1.454,3.375,3.228,0.781,1.177,1.050,1.358,2.048,1.599,0.862,2.246,2.602,2.497,2.486,2.598,-0.440,2.878,2.667,1.112,1.508,0.948,1.934,1.461
2004-08-01,0.029,0.233,0.003,-0.318,-0.543,0.758,0.013,0.692,-0.558,-0.707,0.377,-0.722,0.461,0.408,0.305,-0.692,0.310,0.419,0.766,0.490,-0.590,-0.650,-0.505,-0.177,-0.761,0.988,-0.724,-0.721,1.395,0.309,-0.601,0.802,-0.606,-0.597,0.704,0.184,-0.679,-0.552,-0.709,-0.672,0.211,0.207,-0.365,-0.648,0.199,0.191,0.234,0.654,0.354,0.008,-0.836,0.277,-0.553,-0.654,-0.497,-0.698,-0.138,0.329,-0.206,0.377,-0.038,0.064,-0.613,-0.313,-0.021,-0.743,0.557,1.003,-0.534,-0.750,0.991,-0.866,0.550,0.271,-0.148,-0.937,-0.681,-0.731,0.194,-0.633,-0.679,-0.759,-0.195,-0.817,-0.454,0.550,-0.526,-0.469,-0.642,-0.591,0.333,0.655,-0.613,-0.440,0.387,-0.550,0.813,0.544,-0.470,0.536,-0.760
2004-09-01,-0.380,-0.798,0.065,-0.852,-0.543,-0.597,-0.698,-0.671,-0.558,-0.707,-0.637,-0.722,-0.901,-0.337,-0.519,-0.692,-0.772,-0.708,-0.643,-0.690,-0.590,-0.650,-0.505,-0.733,-0.761,-0.661,-0.724,-0.721,-0.643,-0.303,-0.601,-0.755,-0.606,-0.597,-0.130,-0.992,-0.679,-0.552,-0.709,-0.672,-0.647,-0.741,0.088,-0.648,-0.749,-0.656,-0.618,-0.636,-0.377,-0.640,-0.836,-0.769,-0.553,-0.654,-0.497,-0.698,-0.629,-0.534,-0.596,-0.723,-0.678,-0.596,-0.613,-0.658,-0.744,-0.743,-0.638,-0.720,-0.534,-0.750,-0.585,-0.866,-0.723,-0.245,-0.503,-0.937,-0.681,-0.731,-0.193,-0.633,-0.679,-0.759,-0.410,-0.817,-0.454,-0.839,-0.526,-0.553,-0.642,-0.591,-0.681,-0.670,-0.613,-0.440,-0.554,-0.550,-0.866,-0.672,-0.470,-0.342,-0.760
2004-10-01,-0.359,-0.518,-0.108,-0.852,-0.543,-0.597,-0.698,-0.671,-0.558,-0.707,-0.637,-0.722,-0.901,-0.631,-0.871,-0.692,-0.772,-0.708,-0.643,-0.690,-0.590,-0.650,-0.505,-0.733,-0.761,-0.661,-0.724,-0.721,-0.643,-0.918,-0.601,-0.755,-0.606,-0.597,-0.869,-0.992,-0.679,-0.552,-0.709,-0.672,-0.647,-0.741,-0.663,-0.648,-0.749,-0.656,-0.618,-0.636,-0.813,-0.640,-0.836,-0.769,-0.553,-0.654,-0.497,-0.698,-0.629,-0.728,-0.610,-0.723,-0.678,-0.564,-0.613,-0.658,-0.744,-0.743,-0.638,-0.720,-0.534,-0.750,-0.585,-0.866,-0.723,-0.746,-0.738,0.054,-0.681,-0.731,-0.871,-0.633,-0.679,-0.759,-0.616,-0.817,-0.454,-0.839,-0.526,-0.590,-0.642,-0.591,-0.681,-0.670,-0.613,-0.440,-0.554,-0.550,-0.866,-0.672,-0.470,-0.740,-0.760
