# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: https://www.google.com/trends/correlate/csv?e=id%3AWS6Fw0oe-b5&t=monthly&p=us

Date,Southeast_Rates_Corr,intex pool cover,potato beetles,top summer songs,free summer movie,martinsville mustangs,ph in pools,swampdogs,good summer reading,intex pool covers,alabama water parks,summer session ii,passing league,fayetteville swampdogs,so cal asa,ultimate camp,alive at five,local swimming pools,hornell dodgers,baking soda pool,summer cakes,coastal plains league,wood bat tournament,clear pool water,npr summer reading,vertical window air conditioner,swim shirts,herndon braves,asheboro copperheads,amc free movies,watertown wizards,amc free,amc summer,mankato moondogs,ohcra,woodchucks baseball,wood bat,springtails,rooftop films,freezing spinach,east cobb baseball,fun days,fun water games,socal asa,nycbl,free summer kids movies,summer treats,bag toss,pool supply stores,good summer books,quick set pool,wilson tobs,baler,baler parts,bend elks baseball,hay rake,haier air,us club,cloudy pool water,intex,valley beach,omaha public pools,pool rope,summer family fun,get rid of woodchucks,summer movie camp,bend elks,summer books,milky pool water,green pool water,fun summer things,palmetto falls,green pool,diamond devils,pa pool,blue bayou,auburn water park,az water parks,laramie colts,pruning tomato,danville dans,park pools,movies on the rocks,summer things,care of tomato plants,camp resource,intex pumps,banzai water,cloudy pool,summertime songs,cast cover,elite camp,point mallard,wilmington sharks,pool times,summer things to do,blue bayou in baton rouge,summer newsletter,omaha pools,easy camp,alabama water park
2004-01-01,-0.905,-0.718,-0.726,-0.853,-0.509,-0.649,-0.703,-0.786,-0.557,-0.610,-0.627,-0.720,-0.817,-0.700,-0.712,-1.078,-0.678,-0.656,-0.498,-0.637,-0.688,-0.852,-0.888,-0.618,-0.543,-0.729,-1.195,-0.474,-0.622,-0.419,-0.440,-1.076,-0.564,-0.744,-0.777,-0.531,-1.126,-0.939,-0.888,-1.210,-0.641,-0.533,-0.690,-0.694,-0.759,-0.446,-0.648,-1.494,-1.137,-0.533,-0.634,-0.731,-1.113,-1.159,-0.600,-0.948,-0.854,-0.802,-0.720,-0.877,-0.638,-0.551,-0.804,-0.569,-0.719,-0.510,-0.772,-0.693,-0.552,-0.811,-0.579,-0.632,-0.711,-1.208,-1.038,-0.859,-0.562,-0.643,-0.448,-0.720,-0.648,-0.897,-0.654,-0.768,-0.619,-1.002,-0.579,-0.694,-0.729,-0.820,-0.828,-1.114,-0.717,-0.707,-1.082,-0.695,-0.580,-0.673,-0.581,-1.227,-0.672
2004-02-01,-0.911,-0.718,-0.726,-0.853,-0.509,-0.649,-0.703,-0.786,-0.557,-0.610,-0.627,-0.720,-0.817,-0.700,-0.712,-1.078,-0.678,-0.656,-0.498,-0.637,-0.688,-0.852,-0.888,-0.618,-0.543,-0.729,-1.195,-0.474,-0.622,-0.419,-0.440,-1.076,-0.564,-0.744,-0.777,-0.531,-0.890,-1.007,-0.888,-1.210,-0.853,-0.543,-0.690,-0.694,-0.759,-0.446,-0.648,-1.462,-1.137,-0.533,-0.634,-0.731,-1.163,-1.159,-0.600,-1.166,-0.854,-0.624,-0.720,-0.848,-0.649,-0.551,-0.804,-0.569,-0.719,-0.510,-0.772,-0.693,-0.552,-0.811,-0.579,-0.632,-0.711,-1.208,-1.038,-0.634,-0.562,-0.643,-0.448,-0.720,-0.648,-0.897,-0.654,-0.768,-0.619,-1.002,-0.579,-0.694,-0.729,-0.820,-0.926,-1.114,-0.692,-0.707,-1.082,-0.695,-0.580,-0.673,-0.581,-1.227,-0.672
2004-03-01,-0.789,-0.718,-0.726,-0.853,-0.509,-0.649,-0.703,-0.786,-0.557,-0.610,-0.627,-0.720,-0.817,-0.700,-0.712,-1.078,-0.678,-0.656,-0.498,-0.637,-0.688,-0.852,-0.888,-0.618,-0.543,-0.729,-1.195,-0.474,-0.622,-0.419,-0.440,-1.076,-0.564,-0.744,-0.777,-0.531,-0.793,-0.848,-0.888,-1.210,-0.422,-0.604,-0.690,-0.694,-0.759,-0.446,-0.648,-1.253,-1.137,-0.533,-0.634,-0.731,-0.688,-1.159,-0.600,-0.692,-0.543,-0.471,-0.720,-0.695,-0.816,-0.551,-0.804,-0.569,-0.719,-0.510,-0.772,-0.693,-0.552,-0.811,-0.579,-0.632,-0.550,-1.208,-1.038,-0.755,-0.562,-0.643,-0.448,-0.720,-0.648,-0.897,-0.654,-0.768,-0.619,-1.002,-0.579,-0.694,-0.729,-0.820,-0.799,-1.114,-0.735,-0.707,-1.082,-0.695,-0.580,-0.673,-0.581,-1.227,-0.672
2004-04-01,-0.716,-0.718,-0.726,-0.853,-0.509,-0.649,-0.703,-0.786,-0.557,-0.610,-0.627,-0.720,-0.817,-0.700,-0.712,-1.078,-0.309,-0.656,-0.498,-0.637,-0.688,-0.852,-0.888,-0.618,-0.543,-0.729,-0.875,-0.474,-0.622,-0.419,-0.440,-1.076,-0.564,-0.744,-0.777,-0.531,-0.442,-0.695,-0.888,-1.210,-0.548,-0.319,-0.690,-0.694,-0.759,-0.446,-0.648,-1.148,-1.137,-0.533,-0.634,-0.731,-0.804,-1.159,-0.600,-0.584,-0.119,-0.326,-0.720,-0.520,-0.476,-0.551,-0.804,-0.569,-0.719,-0.510,-0.772,-0.406,-0.552,-0.343,-0.579,-0.632,-0.440,-1.208,-0.371,-0.661,-0.562,-0.643,-0.448,-0.130,-0.648,-0.897,-0.654,-0.325,-0.619,-1.002,-0.579,-0.694,-0.539,0.315,-1.129,-0.458,-0.615,-0.707,-1.082,-0.695,-0.580,-0.673,-0.581,-1.227,-0.672
2004-05-01,-0.247,-0.718,-0.726,0.461,-0.509,-0.649,-0.703,-0.058,-0.557,-0.610,-0.627,-0.720,-0.817,-0.700,-0.712,-1.078,0.019,-0.656,-0.498,-0.637,-0.688,-0.162,-0.150,-0.618,-0.543,-0.729,-0.610,-0.474,-0.622,-0.419,-0.440,-1.076,-0.564,0.397,-0.777,-0.531,0.094,0.205,-0.353,-1.210,-0.001,0.090,-0.690,-0.694,-0.759,-0.446,-0.648,-0.417,0.236,-0.533,0.568,-0.731,-0.215,0.153,-0.600,-0.132,0.563,-0.028,0.546,0.065,0.053,-0.551,-0.804,-0.569,-0.719,0.118,-0.100,0.371,-0.552,0.385,-0.579,-0.632,-0.101,-1.208,0.040,0.028,-0.562,-0.643,-0.448,1.047,-0.648,0.076,-0.654,0.247,-0.619,-1.002,-0.579,0.376,0.356,0.795,0.007,-0.478,0.396,-0.707,-0.365,0.268,-0.580,-0.673,-0.581,0.294,-0.672
2004-06-01,0.295,0.663,1.645,0.325,-0.509,-0.649,-0.703,0.955,-0.557,-0.610,-0.627,1.936,0.696,1.397,0.926,-1.078,1.785,-0.656,-0.498,-0.637,-0.688,1.847,0.436,-0.618,1.829,-0.729,-0.175,-0.474,-0.622,-0.419,1.946,-1.076,0.122,1.923,1.444,-0.531,0.625,0.191,0.700,1.555,0.697,1.393,-0.690,2.238,0.872,-0.446,0.672,0.264,0.586,1.593,0.588,1.180,0.437,0.494,1.670,1.022,0.749,2.251,1.110,0.683,0.529,-0.551,-0.804,-0.569,-0.719,0.975,1.311,1.280,-0.552,0.871,-0.579,-0.632,0.224,0.928,0.012,0.501,-0.562,-0.643,-0.448,1.911,1.736,1.046,1.192,0.735,-0.619,-1.002,-0.579,1.422,0.976,1.030,-0.087,-0.268,0.715,2.210,0.288,0.794,-0.580,-0.673,-0.581,0.841,2.286
2004-07-01,-0.204,0.430,-0.726,-0.037,-0.509,-0.649,-0.703,0.457,-0.557,-0.610,-0.627,-0.720,1.050,-0.700,-0.712,-1.078,1.165,-0.656,-0.498,-0.637,-0.688,1.397,0.659,-0.618,-0.543,0.858,-0.065,-0.474,-0.622,-0.419,-0.440,-1.076,-0.059,0.579,-0.777,-0.531,0.919,-0.276,0.994,-1.210,0.624,0.401,-0.690,-0.694,0.781,-0.446,-0.648,0.469,0.235,-0.533,0.672,0.833,0.443,0.590,-0.600,0.551,0.134,0.751,0.774,0.397,0.922,-0.551,-0.804,-0.569,-0.719,-0.510,0.661,0.487,-0.552,1.160,-0.579,-0.632,0.134,0.317,0.133,0.886,-0.562,-0.643,-0.448,0.974,1.896,0.865,1.360,0.335,-0.619,-1.002,-0.579,-0.459,0.789,0.308,0.140,-0.361,1.356,1.528,0.180,0.442,-0.580,-0.673,-0.581,0.922,1.479
2004-08-01,-0.545,-0.718,-0.726,-0.853,-0.509,-0.649,-0.703,-0.786,-0.557,-0.610,-0.627,-0.720,-0.817,-0.700,-0.712,-1.078,-0.038,-0.656,-0.498,-0.637,-0.688,-0.318,-0.286,-0.618,-0.543,-0.729,-0.732,-0.474,-0.622,-0.419,-0.440,-1.076,-0.564,-0.021,-0.777,-0.531,-0.064,-0.279,0.210,-1.210,0.201,-0.118,-0.690,-0.694,-0.759,-0.446,-0.648,-0.123,-0.432,-0.533,-0.634,-0.731,-0.226,0.286,-0.600,-0.408,-0.429,-0.287,-0.007,-0.332,-0.087,-0.551,-0.804,-0.569,-0.719,-0.510,0.310,-0.286,-0.552,0.110,-0.579,-0.632,-0.136,-1.208,-0.153,-0.378,-0.562,-0.643,-0.448,-0.720,-0.648,0.224,-0.654,-0.382,-0.619,-1.002,-0.579,-0.694,-0.015,-0.820,-0.292,-1.114,-0.156,-0.707,-0.283,-0.695,-0.580,-0.673,-0.581,-1.227,-0.672
2004-09-01,-0.564,-0.718,-0.726,-0.853,-0.509,-0.649,-0.703,-0.786,-0.557,-0.610,-0.627,-0.720,-0.817,-0.700,-0.712,-1.078,-0.678,-0.656,-0.498,-0.637,-0.688,-0.852,-0.888,-0.618,-0.543,-0.729,-0.878,-0.474,-0.622,-0.419,-0.440,-1.076,-0.564,-0.744,-0.777,-0.531,-0.370,-0.701,-0.379,-1.210,-0.442,-0.439,-0.690,-0.694,-0.759,-0.446,-0.648,-0.576,-0.458,-0.533,-0.634,-0.731,-0.614,-0.476,-0.600,-0.503,-0.516,-0.739,-0.522,-0.720,-0.541,-0.551,-0.804,-0.569,-0.719,-0.510,-0.772,-0.693,-0.552,-0.414,-0.579,-0.632,-0.414,-1.208,-1.038,-0.711,-0.562,-0.643,-0.448,-0.720,-0.648,-0.897,-0.654,-0.768,-0.619,-1.002,-0.579,-0.694,-0.489,-0.820,-0.581,-1.114,-0.699,-0.707,-1.082,-0.695,-0.580,-0.673,-0.581,-1.227,-0.672
2004-10-01,-0.539,-0.718,-0.726,-0.853,-0.509,-0.649,-0.703,-0.786,-0.557,-0.610,-0.627,-0.720,-0.817,-0.700,-0.712,-1.078,-0.678,-0.656,-0.498,-0.637,-0.688,-0.852,-0.888,-0.618,-0.543,-0.729,-0.984,-0.474,-0.622,-0.419,-0.440,-1.076,-0.564,-0.744,-0.777,-0.531,-0.032,-0.670,-0.888,-1.210,-0.486,-0.746,-0.690,-0.694,-0.759,-0.446,-0.648,-0.865,-1.137,-0.533,-0.634,-0.731,-0.936,-1.159,-0.600,-1.126,-0.682,-0.777,-0.720,-0.851,-0.666,-0.551,-0.804,-0.569,-0.719,-0.510,-0.772,-0.693,-0.552,-0.811,-0.579,-0.632,-0.560,-1.208,-1.038,-0.828,-0.562,-0.643,-0.448,-0.720,-0.648,-0.897,-0.654,-0.768,-0.619,-1.002,-0.579,-0.694,-0.729,-0.820,-0.823,-1.114,-0.759,-0.707,-1.082,-0.695,-0.580,-0.673,-0.581,-1.227,-0.672
