geo,date,geo1,49 drive in,bay water park,beach chicago,beaches in michigan,beaches in ohio,bell's palsy,black legged tick,black tick,blueberry farm,blueberry patch,buffalo state park,bullseye rash,campground colorado,centennial beach,coney island cincinnati,cooling bandana,deer tick,dollywood splash country,dorm bedding,drive in ohio,easy summer recipes,facial paralysis,family aquatic center,fantasy lake,festival colorado,festivals milwaukee,fever,free concerts,fried squash,funplex omaha,grilled squash,harvesting basil,harvesting garlic,homemade ice cream recipes,hotels near worlds of fun,island water,island water park,joint pain,kings island discount,knee pain,lake beaches,little buffalo state park,luverne drive in,lyme,lyme disease,marketfest,melody 49 drive in,motel wisconsin dells,movies in the park,music in the park,music under the stars,outdoor water parks,pick blueberries,pikes peak cog railway,pool cooler,rash,river float trips,river water park,sherwood island state park,splash country,splashdown water park,sprinkler park,summer appetizers,summer dessert,summer desserts,summer sizzler,summer soup,swollen joint,swollen joints,swollen knee,swollen knees,tick,tired,valley beach,venture river,water west,watermelon drinks,watermelon recipe,waterworld concord,waterworld denver,wetlands water park,what do baby toads eat,wild water,wild water west,wolf river campground,worlds of fun discount
US-IA,2004-01-01,NA,NA,NA,50,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,52,0,NA,0,NA,NA,NA,0,0,14,NA,50,NA,53,0,NA,0,27,26,NA,NA,NA,0,0,0,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,100,NA,18,31,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2004-02-01,NA,NA,NA,0,NA,NA,69,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,46,0,NA,0,NA,NA,NA,0,0,40,NA,0,NA,0,0,NA,0,51,25,NA,NA,NA,0,0,0,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,18,29,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2004-03-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,100,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,56,0,NA,0,NA,NA,NA,0,0,17,NA,0,NA,0,0,NA,0,0,33,NA,NA,NA,0,0,0,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,23,38,0,NA,60,NA,0,NA,NA,NA,NA,0,99,NA,NA
US-IA,2004-04-01,NA,NA,NA,0,NA,NA,68,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,38,0,NA,0,NA,NA,NA,0,0,0,NA,45,NA,100,0,NA,0,25,32,NA,NA,NA,0,0,0,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,26,29,0,NA,59,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2004-05-01,NA,NA,NA,44,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA,NA,NA,NA,37,0,NA,0,NA,NA,NA,0,0,38,NA,0,NA,49,0,NA,0,48,71,NA,NA,NA,0,0,0,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,92,NA,33,0,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2004-06-01,NA,NA,NA,49,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,55,NA,0,NA,0,NA,NA,NA,NA,NA,19,0,NA,0,NA,NA,NA,0,0,0,NA,50,NA,54,100,NA,0,53,39,NA,NA,NA,0,0,0,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,36,60,0,NA,49,NA,0,NA,NA,NA,NA,67,0,NA,NA
US-IA,2004-07-01,NA,NA,NA,100,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,56,NA,0,NA,0,NA,NA,NA,NA,NA,42,0,NA,0,NA,NA,NA,0,0,33,NA,100,NA,54,0,NA,79,80,53,NA,NA,NA,0,100,0,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,56,46,0,NA,73,NA,0,NA,NA,NA,NA,68,0,NA,NA
US-IA,2004-08-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,34,100,NA,0,NA,NA,NA,0,0,13,NA,44,NA,98,0,NA,0,48,59,NA,NA,NA,0,0,0,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,17,55,100,NA,44,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2004-09-01,NA,NA,NA,0,NA,NA,55,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,34,0,NA,0,NA,NA,NA,0,0,16,NA,38,NA,41,0,NA,0,71,100,NA,NA,NA,0,0,0,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,42,23,84,NA,0,NA,100,NA,NA,NA,NA,0,0,NA,NA
US-IA,2004-10-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,33,0,NA,0,NA,NA,NA,100,0,0,NA,0,NA,64,0,NA,0,21,31,NA,NA,NA,0,0,0,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,36,0,NA,38,NA,0,NA,NA,NA,NA,0,0,NA,NA
