geo,date,alabama water park,alabama water parks,alive at five,amc free,amc free movies,asheboro copperheads,auburn water park,bag toss,baking soda pool,baler,baler parts,banzai water,bell's palsy,black legged tick,black tick,blue bayou,blue bayou in baton rouge,bullseye rash,cast cover,clear pool water,cloudy pool,cloudy pool water,coastal plains league,danville dans,deer tick,diamond devils,east cobb baseball,easy camp,elite camp,facial paralysis,fayetteville swampdogs,fever,free summer kids movies,free summer movie,fun days,green pool,green pool water,haier air,hay rake,herndon braves,intex,intex pool cover,intex pumps,joint pain,knee pain,lyme,lyme disease,martinsville mustangs,nycbl,pa pool,palmetto falls,park pools,point mallard,pool rope,pool supply stores,pool times,quick set pool,rash,springtails,summer books,summer family fun,summer movie camp,summer things,summer things to do,summertime songs,swampdogs,swim shirts,swollen joint,swollen joints,swollen knee,swollen knees,tick,tired,top summer songs,us club,valley beach,wilmington sharks,wilson tobs,wood bat,wood bat tournament
US-AL,2004-01-01,0,0,NA,0,NA,NA,0,0,0,85,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,34,NA,0,0,0,NA,NA,0,NA,0,NA,NA,65,0,0,45,NA,NA,NA,NA,NA,0,NA,NA,0,0,23,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,21,29,NA,0,23,NA,NA,0,NA
US-AL,2004-02-01,36,0,NA,0,NA,NA,0,0,0,0,NA,0,55,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,29,NA,0,0,0,NA,NA,0,NA,0,NA,NA,63,58,37,43,NA,NA,NA,NA,NA,17,NA,NA,0,0,39,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,20,42,NA,100,0,NA,NA,0,NA
US-AL,2004-03-01,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,53,NA,0,0,100,NA,NA,0,NA,100,NA,NA,85,78,0,58,NA,NA,NA,NA,NA,0,NA,NA,0,0,37,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,67,38,NA,0,0,NA,NA,0,NA
US-AL,2004-04-01,37,50,NA,0,NA,NA,0,0,0,0,NA,100,0,NA,0,0,0,0,0,0,0,0,NA,NA,100,NA,0,NA,NA,NA,NA,22,NA,0,0,74,NA,NA,0,NA,74,NA,NA,0,0,37,0,NA,NA,NA,NA,NA,16,NA,NA,100,0,33,0,80,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,33,28,NA,0,23,NA,NA,0,NA
US-AL,2004-05-01,34,47,NA,0,NA,NA,100,0,0,77,NA,0,0,NA,0,0,0,0,0,0,100,77,NA,NA,0,NA,0,NA,NA,NA,NA,44,NA,0,0,0,NA,NA,0,NA,35,NA,NA,59,0,92,61,NA,NA,NA,NA,NA,68,NA,NA,0,0,35,0,0,NA,NA,100,0,NA,NA,0,NA,NA,0,NA,38,40,NA,0,0,NA,NA,0,NA
US-AL,2004-06-01,100,46,NA,100,NA,NA,95,0,0,0,NA,0,100,NA,0,99,0,0,0,0,0,0,NA,NA,92,NA,0,NA,NA,NA,NA,40,NA,100,0,0,NA,NA,0,NA,68,NA,NA,57,79,100,66,NA,NA,NA,NA,NA,30,NA,NA,0,0,27,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,36,26,NA,0,0,NA,NA,0,NA
US-AL,2004-07-01,34,0,NA,0,NA,NA,97,0,0,0,NA,0,51,NA,0,100,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,36,NA,0,0,0,NA,NA,100,NA,34,NA,NA,59,53,68,100,NA,NA,NA,NA,NA,71,NA,NA,0,0,52,0,74,NA,NA,97,89,NA,NA,0,NA,NA,0,NA,18,39,NA,92,21,NA,NA,0,NA
US-AL,2004-08-01,0,42,NA,0,NA,NA,0,0,0,68,NA,0,91,NA,0,89,0,0,0,0,88,0,NA,NA,0,NA,0,NA,NA,NA,NA,45,NA,0,0,61,NA,NA,0,NA,46,NA,NA,52,48,76,36,NA,NA,NA,NA,NA,34,NA,NA,0,0,37,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,41,23,NA,0,19,NA,NA,0,NA
US-AL,2004-09-01,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,88,0,NA,NA,0,NA,0,NA,NA,NA,NA,38,NA,0,0,0,NA,NA,0,NA,31,NA,NA,51,46,44,70,NA,NA,NA,NA,NA,13,NA,NA,0,0,24,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,49,23,NA,0,18,NA,NA,93,NA
US-AL,2004-10-01,30,0,NA,0,NA,NA,0,0,0,0,NA,0,46,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,41,NA,0,0,0,NA,NA,0,NA,0,NA,NA,52,49,61,72,NA,NA,NA,NA,NA,14,NA,NA,0,0,33,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,17,23,NA,42,0,NA,NA,0,NA
