geo,date,bell's palsy,black legged tick,black tick,bullseye rash,ca water,carpinteria,cataratas del niagara,cave of the winds colorado springs,cheap bmx,cheap bmx bikes,deer tick,facial paralysis,fever,half moon bay ca,hotels ca,hotels nc,how to make string bracelets,joint pain,knee pain,lake almanor ca,loans for,lyme,lyme disease,make string bracelets,moon bay ca,nb canada,ohsweken,pigeon forge hotels,produce stand,rash,recipes on the grill,ri things to do,sandstone amphitheater,seattle airport car rental,string bracelets,swollen joint,swollen joints,swollen knee,swollen knees,tick,tired,world rv
US-AZ,2004-01-01,81,NA,0,NA,58,0,0,NA,NA,NA,0,0,44,NA,20,100,NA,0,39,0,22,29,31,NA,NA,NA,NA,NA,0,38,NA,NA,NA,0,0,0,NA,0,NA,22,31,40
US-AZ,2004-02-01,78,NA,0,NA,0,76,0,NA,NA,NA,0,0,33,NA,54,98,NA,0,42,0,44,28,31,NA,NA,NA,NA,NA,0,30,NA,NA,NA,0,0,0,NA,0,NA,73,15,78
US-AZ,2004-03-01,0,NA,0,NA,74,0,0,NA,NA,NA,0,0,48,NA,13,0,NA,0,100,0,70,37,40,NA,NA,NA,NA,NA,0,39,NA,NA,NA,0,100,0,NA,0,NA,95,19,100
US-AZ,2004-04-01,73,NA,0,NA,53,71,0,NA,NA,NA,0,0,46,NA,18,0,NA,51,24,0,61,52,29,NA,NA,NA,NA,NA,0,31,NA,NA,NA,0,0,0,NA,0,NA,49,28,36
US-AZ,2004-05-01,67,NA,0,NA,98,66,0,NA,NA,NA,0,0,34,NA,25,84,NA,94,44,0,63,56,26,NA,NA,NA,NA,NA,0,42,NA,NA,NA,0,0,0,NA,0,NA,54,13,0
US-AZ,2004-06-01,68,NA,0,NA,99,65,0,NA,NA,NA,0,100,48,NA,38,84,NA,95,33,0,44,36,0,NA,NA,NA,NA,NA,0,45,NA,NA,NA,0,0,100,NA,0,NA,73,30,34
US-AZ,2004-07-01,0,NA,0,NA,100,100,0,NA,NA,NA,0,0,43,NA,30,0,NA,96,33,0,70,57,44,NA,NA,NA,NA,NA,0,46,NA,NA,NA,0,0,0,NA,0,NA,28,26,34
US-AZ,2004-08-01,60,NA,0,NA,0,0,0,NA,NA,NA,100,0,54,NA,33,0,NA,63,29,0,61,64,94,NA,NA,NA,NA,NA,0,40,NA,NA,NA,0,0,0,NA,0,NA,48,17,30
US-AZ,2004-09-01,57,NA,0,NA,0,0,0,NA,NA,NA,95,0,55,NA,25,71,NA,0,43,0,48,27,22,NA,NA,NA,NA,NA,0,35,NA,NA,NA,0,0,0,NA,0,NA,46,27,71
US-AZ,2004-10-01,0,NA,0,NA,43,58,0,NA,NA,NA,0,0,49,NA,18,74,NA,42,19,0,55,42,23,NA,NA,NA,NA,NA,0,29,NA,NA,NA,0,0,0,NA,97,NA,56,27,0
