geo,date,geo1,bandshell,beach ct,beach in ct,beach in nj,beach in ny,bell's palsy,berry picking,black legged tick,black tick,blarney island,blueberry farm,blueberry hill farm,blueberry patch,blueberry picking,broomfield bay,buffalo state park,bullseye rash,cascade lake,chautauqua ny,college bedding,concert in park,concert in the park,coupons for water,deer tick,echo lake campground,facial paralysis,fever,free concert,free concerts,free outdoor concerts,freeze blueberries,fried squash,how to freeze blueberries,joint pain,knee pain,lake beaches,lake in nj,lake water park,lyme,lyme disease,market fest,memorial beach,movie in park,movies in park,movies in the park,mt adams,music in the park,music under the stars,nara park,ny beach,oak street beach,outdoor movies,outdoor water park,rash,raspberry cobbler,river tube,roseville water park,sackets,sand castle contest,soak city,sprinkler park,squash flowers,state park mi,summer sizzler,swollen joint,swollen joints,swollen knee,swollen knees,the blueberry patch,tick,tired,u pick berries,u pick blueberries,warner center park,water kingdom,water tubing,water west,watermelon soup,waterworld denver,wild water,wild water kingdom,wild water west,zucchini flower
US-CA,2004-01-01,NA,55,0,0,0,76,65,0,0,0,100,0,NA,NA,0,NA,100,0,56,54,0,0,0,0,0,0,59,42,38,19,0,0,0,0,44,18,0,100,0,33,23,0,41,0,8,0,0,8,0,0,15,0,0,0,29,NA,0,0,0,0,4,0,0,0,0,73,100,41,78,NA,44,19,NA,0,54,49,48,24,0,0,16,0,0,0
US-CA,2004-02-01,NA,54,0,0,0,0,55,0,0,0,0,0,NA,NA,0,NA,0,0,0,54,0,8,9,0,33,0,56,38,20,31,0,0,0,0,47,35,33,0,0,30,22,0,21,16,8,0,0,0,0,0,30,0,0,0,31,NA,0,0,0,0,2,0,100,0,0,0,0,40,76,NA,35,24,NA,0,0,48,0,46,57,0,16,0,0,0
US-CA,2004-03-01,NA,0,0,0,0,0,73,0,0,100,0,0,NA,NA,0,NA,0,0,72,0,0,0,0,0,44,0,74,44,50,16,0,0,0,0,36,23,22,0,20,52,40,0,52,24,11,14,0,7,0,100,40,100,0,100,30,NA,56,0,0,0,5,0,0,100,0,0,0,0,100,NA,46,21,NA,0,70,63,62,53,0,100,14,0,0,0
US-CA,2004-04-01,NA,0,30,0,54,72,84,0,0,0,0,0,NA,NA,0,NA,94,0,54,51,0,10,0,0,96,0,54,41,48,28,0,0,0,0,26,22,16,0,22,55,42,0,51,11,16,0,100,10,0,0,22,0,35,0,32,NA,42,0,0,0,7,0,0,74,0,0,93,0,0,NA,54,25,NA,0,0,0,46,56,0,74,20,0,0,0
US-CA,2004-05-01,NA,46,27,0,0,65,75,41,0,33,0,0,NA,NA,0,NA,0,0,97,0,62,14,23,0,86,0,49,43,56,32,0,0,0,0,37,34,14,0,13,56,56,97,51,13,14,18,90,9,0,0,26,0,47,66,34,NA,0,44,0,0,18,100,0,0,0,0,83,0,0,NA,47,24,NA,0,46,83,82,15,100,0,45,0,0,0
US-CA,2004-06-01,NA,48,37,0,100,100,57,86,0,0,0,0,NA,NA,0,NA,87,0,50,48,0,30,56,0,0,0,50,36,76,45,0,0,0,0,32,18,49,86,27,42,42,100,55,23,18,0,93,35,100,68,20,69,16,0,42,NA,38,38,0,0,28,0,0,0,0,0,0,36,0,NA,47,20,NA,0,48,43,42,31,0,0,61,0,0,0
US-CA,2004-07-01,NA,100,29,0,51,0,65,58,0,0,0,0,NA,NA,63,NA,0,0,100,0,66,57,44,85,61,0,51,42,73,61,0,100,100,0,57,27,45,0,27,59,50,0,37,30,30,29,96,41,0,0,42,71,33,0,37,NA,98,47,0,100,52,0,0,70,0,64,0,37,0,NA,49,20,NA,0,49,67,43,16,0,0,60,100,0,0
US-CA,2004-08-01,NA,0,39,0,48,0,54,41,0,32,0,0,NA,NA,57,NA,84,0,47,45,61,26,26,77,28,0,47,36,93,21,0,0,0,0,50,33,28,0,21,44,48,0,36,37,21,22,87,39,96,0,13,0,47,0,42,NA,36,29,79,31,34,0,86,0,0,59,0,34,0,NA,37,21,NA,0,89,62,100,64,49,0,47,0,0,0
US-CA,2004-09-01,NA,44,0,0,0,0,52,0,0,0,0,0,NA,NA,0,NA,80,0,61,44,59,26,36,0,0,0,46,37,86,48,100,0,88,0,29,21,20,0,12,45,30,0,35,21,34,9,84,11,0,0,25,0,30,0,38,NA,0,21,78,0,16,48,0,0,0,0,80,33,0,NA,34,24,NA,0,0,40,0,48,0,0,21,0,0,0
US-CA,2004-10-01,NA,0,26,0,0,0,59,0,0,0,0,56,NA,NA,0,NA,0,0,69,0,0,10,7,0,83,0,0,34,33,16,0,0,0,0,59,26,14,81,0,31,34,0,38,9,0,9,0,6,0,0,38,0,15,0,29,NA,0,0,0,0,2,0,0,0,0,0,80,0,64,NA,28,21,NA,0,0,40,39,34,0,0,13,0,0,0
US-CA,2004-11-01,NA,0,28,0,0,0,56,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,8,0,29,0,100,34,18,22,0,0,96,0,66,23,14,0,0,26,27,0,57,15,7,9,0,4,0,0,27,0,0,67,30,NA,37,0,0,0,0,0,0,0,0,0,0,35,0,NA,42,22,NA,0,46,0,41,41,0,0,7,0,0,0
US-CA,2004-12-01,NA,0,0,0,0,59,47,0,100,0,0,53,NA,NA,0,NA,0,0,66,0,57,0,7,0,27,0,0,44,20,15,0,0,0,0,44,32,13,77,12,23,19,0,39,18,7,8,0,7,0,0,18,0,15,0,29,NA,34,0,0,0,0,0,0,0,0,84,76,0,62,NA,34,23,NA,0,0,39,37,37,0,0,10,0,0,0
US-CA,2005-01-01,NA,0,0,0,0,53,56,0,0,54,0,0,NA,NA,0,NA,0,0,39,37,0,8,6,0,23,0,0,46,28,9,0,0,76,0,30,28,12,0,0,31,30,0,39,20,6,0,73,7,0,0,11,0,13,0,31,NA,0,0,67,26,1,40,0,54,0,0,68,28,0,NA,41,22,NA,0,37,0,33,56,0,0,6,0,0,0
US-CA,2005-02-01,NA,0,23,0,42,0,83,0,0,0,0,50,NA,NA,0,NA,73,0,41,0,0,12,7,0,50,0,0,44,33,19,90,0,0,0,35,35,12,0,11,34,24,83,51,8,6,0,77,8,0,0,34,0,14,0,31,NA,32,0,0,0,3,0,0,0,0,0,72,30,57,NA,30,26,NA,0,0,0,36,69,0,0,12,0,0,0
US-CA,2005-03-01,NA,0,39,0,0,0,60,0,0,24,0,0,NA,NA,0,NA,0,54,35,0,46,7,11,0,42,0,36,50,28,16,76,0,0,0,37,36,14,0,9,37,37,0,56,7,5,0,66,5,0,0,10,0,0,0,37,NA,0,16,0,0,2,0,0,0,0,0,0,26,48,NA,47,21,NA,100,33,30,30,26,0,0,15,0,0,0
US-CA,2005-04-01,NA,0,34,0,0,54,74,34,0,0,0,0,NA,NA,0,NA,0,0,40,0,0,17,6,0,36,0,82,56,32,21,0,0,0,0,45,37,16,0,18,41,41,83,36,24,6,15,75,5,0,0,11,54,27,0,42,NA,0,0,0,26,8,0,0,0,0,100,69,29,0,NA,39,30,NA,0,38,0,34,33,41,0,11,0,0,0
US-CA,2005-05-01,NA,0,19,0,0,0,86,77,75,46,0,41,NA,NA,41,NA,0,0,33,32,0,16,19,54,20,0,52,42,60,28,74,0,0,0,31,19,20,59,21,47,46,67,79,20,15,6,62,14,0,46,23,0,28,0,35,NA,52,31,57,0,19,0,0,47,0,0,58,49,0,NA,54,25,NA,0,32,29,0,28,0,0,27,0,0,0
US-CA,2005-06-01,NA,0,19,83,35,47,55,100,78,24,0,0,NA,NA,43,NA,0,0,52,0,0,34,30,58,21,0,53,45,66,44,0,0,68,0,52,48,31,0,34,46,46,0,60,34,18,20,65,58,0,0,14,0,34,0,37,NA,27,48,59,23,36,37,0,0,0,44,60,25,0,NA,50,28,NA,99,44,45,60,47,37,48,71,35,0,0
US-CA,2005-07-01,NA,67,0,0,36,93,60,45,77,36,0,43,NA,NA,43,NA,0,0,81,100,45,67,72,58,21,0,0,43,85,68,0,69,0,0,54,36,21,0,44,57,51,0,60,14,23,40,66,58,0,0,43,49,57,0,44,NA,55,32,0,47,56,0,0,0,0,44,60,0,0,NA,59,32,NA,0,77,30,39,44,36,48,82,0,100,82
US-CA,2005-08-01,NA,32,56,0,34,45,75,47,0,0,0,40,NA,NA,40,NA,0,100,99,31,44,34,31,0,0,0,33,37,68,59,0,0,64,0,40,35,23,0,30,43,45,0,48,22,10,16,0,27,0,0,32,45,32,0,42,NA,64,25,0,22,48,34,0,0,0,42,0,0,0,NA,36,28,NA,93,52,38,55,55,0,0,45,0,0,78
