Region,date,total_lyme
Midwest,2004-01-01,13
Midwest,2004-02-01,12
Midwest,2004-03-01,24
Midwest,2004-04-01,34
Midwest,2004-05-01,146
Midwest,2004-06-01,480
Midwest,2004-07-01,642
Midwest,2004-08-01,349
Midwest,2004-09-01,250
Midwest,2004-10-01,123
Midwest,2004-11-01,53
Midwest,2004-12-01,25
Midwest,2005-01-01,31
Midwest,2005-02-01,17
Midwest,2005-03-01,24
Midwest,2005-04-01,43
Midwest,2005-05-01,141
Midwest,2005-06-01,622
Midwest,2005-07-01,831
Midwest,2005-08-01,272
Midwest,2005-09-01,159
Midwest,2005-10-01,82
Midwest,2005-11-01,53
Midwest,2005-12-01,28
Midwest,2006-01-01,24
Midwest,2006-02-01,17
Midwest,2006-03-01,18
Midwest,2006-04-01,55
Midwest,2006-05-01,246
Midwest,2006-06-01,721
Midwest,2006-07-01,801
Midwest,2006-08-01,255
Midwest,2006-09-01,124
Midwest,2006-10-01,62
Midwest,2006-11-01,32
Midwest,2006-12-01,20
Midwest,2007-01-01,20
Midwest,2007-02-01,19
Midwest,2007-03-01,25
Midwest,2007-04-01,58
Midwest,2007-05-01,282
Midwest,2007-06-01,820
Midwest,2007-07-01,1018
Midwest,2007-08-01,423
Midwest,2007-09-01,178
Midwest,2007-10-01,156
Midwest,2007-11-01,65
Midwest,2007-12-01,30
Midwest,2008-01-01,37
Midwest,2008-02-01,22
Midwest,2008-03-01,40
Midwest,2008-04-01,63
Midwest,2008-05-01,171
Midwest,2008-06-01,636
Midwest,2008-07-01,1056
Midwest,2008-08-01,562
Midwest,2008-09-01,281
Midwest,2008-10-01,203
Midwest,2008-11-01,79
Midwest,2008-12-01,26
Midwest,2009-01-01,34
Midwest,2009-02-01,40
Midwest,2009-03-01,44
Midwest,2009-04-01,74
Midwest,2009-05-01,229
Midwest,2009-06-01,866
Midwest,2009-07-01,1310
Midwest,2009-08-01,623
Midwest,2009-09-01,253
Midwest,2009-10-01,134
Midwest,2009-11-01,70
Midwest,2009-12-01,48
Midwest,2010-01-01,48
Midwest,2010-02-01,45
Midwest,2010-03-01,64
Midwest,2010-04-01,141
Midwest,2010-05-01,491
Midwest,2010-06-01,1698
Midwest,2010-07-01,1523
Midwest,2010-08-01,518
Midwest,2010-09-01,274
Midwest,2010-10-01,257
Midwest,2010-11-01,103
Midwest,2010-12-01,50
Midwest,2011-01-01,60
Midwest,2011-02-01,62
Midwest,2011-03-01,73
Midwest,2011-04-01,144
Midwest,2011-05-01,346
Midwest,2011-06-01,1288
Midwest,2011-07-01,1845
Midwest,2011-08-01,826
Midwest,2011-09-01,358
Midwest,2011-10-01,244
Midwest,2011-11-01,143
Midwest,2011-12-01,73
Midwest,2012-01-01,79
Midwest,2012-02-01,62
Midwest,2012-03-01,116
Midwest,2012-04-01,233
Midwest,2012-05-01,481
Midwest,2012-06-01,1007
Midwest,2012-07-01,801
Midwest,2012-08-01,317
Midwest,2012-09-01,175
Midwest,2012-10-01,99
Midwest,2012-11-01,65
Midwest,2012-12-01,38
Midwest,2013-01-01,38
Midwest,2013-02-01,31
Midwest,2013-03-01,27
Midwest,2013-04-01,61
Midwest,2013-05-01,252
Midwest,2013-06-01,1008
Midwest,2013-07-01,1587
Midwest,2013-08-01,799
Midwest,2013-09-01,385
Midwest,2013-10-01,218
Midwest,2013-11-01,103
Midwest,2013-12-01,49
Midwest,2014-01-01,45
Midwest,2014-02-01,37
Midwest,2014-03-01,52
Midwest,2014-04-01,81
Midwest,2014-05-01,256
Midwest,2014-06-01,743
Midwest,2014-07-01,1019
Midwest,2014-08-01,437
Midwest,2014-09-01,279
Midwest,2014-10-01,183
Midwest,2014-11-01,73
Midwest,2014-12-01,41
Midwest,2015-01-01,45
Midwest,2015-02-01,40
Midwest,2015-03-01,56
Midwest,2015-04-01,92
Midwest,2015-05-01,434
Midwest,2015-06-01,1219
Midwest,2015-07-01,1253
Midwest,2015-08-01,497
Midwest,2015-09-01,294
Midwest,2015-10-01,230
Midwest,2015-11-01,111
Midwest,2015-12-01,49
Midwest,2016-01-01,36
Midwest,2016-02-01,45
Midwest,2016-03-01,96
Midwest,2016-04-01,167
Midwest,2016-05-01,390
Midwest,2016-06-01,1443
Midwest,2016-07-01,1440
Midwest,2016-08-01,499
Midwest,2016-09-01,286
Midwest,2016-10-01,259
Midwest,2016-11-01,172
Midwest,2016-12-01,84
Midwest,2017-01-01,76
Midwest,2017-02-01,86
Midwest,2017-03-01,85
Midwest,2017-04-01,168
Midwest,2017-05-01,481
Midwest,2017-06-01,1424
Midwest,2017-07-01,2022
Midwest,2017-08-01,826
Midwest,2017-09-01,478
Midwest,2017-10-01,294
Midwest,2017-11-01,168
Midwest,2017-12-01,95
Northeast,2004-01-01,258
Northeast,2004-02-01,253
Northeast,2004-03-01,324
Northeast,2004-04-01,454
Northeast,2004-05-01,987
Northeast,2004-06-01,3126
Northeast,2004-07-01,2839
Northeast,2004-08-01,1317
Northeast,2004-09-01,739
Northeast,2004-10-01,769
Northeast,2004-11-01,489
Northeast,2004-12-01,250
Northeast,2005-01-01,212
Northeast,2005-02-01,189
Northeast,2005-03-01,217
Northeast,2005-04-01,338
Northeast,2005-05-01,699
Northeast,2005-06-01,3575
Northeast,2005-07-01,4880
Northeast,2005-08-01,1842
Northeast,2005-09-01,672
Northeast,2005-10-01,568
Northeast,2005-11-01,381
Northeast,2005-12-01,149
Northeast,2006-01-01,170
Northeast,2006-02-01,184
Northeast,2006-03-01,211
Northeast,2006-04-01,264
Northeast,2006-05-01,749
Northeast,2006-06-01,3389
Northeast,2006-07-01,3369
Northeast,2006-08-01,1199
Northeast,2006-09-01,635
Northeast,2006-10-01,556
Northeast,2006-11-01,345
Northeast,2006-12-01,234
Northeast,2007-01-01,285
Northeast,2007-02-01,184
Northeast,2007-03-01,247
Northeast,2007-04-01,392
Northeast,2007-05-01,1097
Northeast,2007-06-01,3873
Northeast,2007-07-01,4284
Northeast,2007-08-01,1661
Northeast,2007-09-01,743
Northeast,2007-10-01,775
Northeast,2007-11-01,498
Northeast,2007-12-01,240
Northeast,2008-01-01,312
Northeast,2008-02-01,283
Northeast,2008-03-01,300
Northeast,2008-04-01,600
Northeast,2008-05-01,1504
Northeast,2008-06-01,4880
Northeast,2008-07-01,5962
Northeast,2008-08-01,2304
Northeast,2008-09-01,1324
